year,month,origin,average_departure_delay
2013,1,EWR,14.90574831693423
2013,1,JFK,8.61582606776294
2013,1,LGA,5.64156044804944
2013,2,EWR,13.067263011152416
2013,2,JFK,11.791355256601893
2013,2,LGA,6.961582081088744
2013,3,EWR,18.102456978016512
2013,3,JFK,10.721825063078217
2013,3,LGA,10.232040913415794
2013,4,EWR,17.400058416901956
2013,4,JFK,12.24905911002878
2013,4,LGA,11.508914682302262
2013,5,EWR,15.36614135163879
2013,5,JFK,12.519431585746583
2013,5,LGA,10.63050808045576
2013,6,EWR,22.470810369463155
2013,6,JFK,20.499729114746994
2013,6,LGA,19.29669794078226
2013,7,EWR,22.035111808552372
2013,7,JFK,23.769262128006524
2013,7,LGA,18.995163383272384
2013,8,EWR,13.493714397957179
2013,8,JFK,12.914357937310415
2013,8,LGA,11.244041509864294
2013,9,EWR,7.290953545232274
2013,9,JFK,6.635775862068965
2013,9,LGA,6.207439038094168
2013,10,EWR,8.636436276468238
2013,10,JFK,4.592555994729908
2013,10,LGA,5.3091366831008076
2013,11,EWR,6.723768959069187
2013,11,JFK,4.678464376296979
2013,11,LGA,4.767143674871208
2013,12,EWR,21.02657490735839
2013,12,JFK,14.788352114247461
2013,12,LGA,13.588830153987589
